Donor,Transport(%),Energy(%),Agriculture(%),Industry(%),Debt(%),Recipient,Country,,,,,,
6,0,0,0,0,0,10,Netherlands,,,,,,
6,0,0.2,2.2,1.2,0,7,Netherlands,,,,,,
6,0.2,0.5,22.5,13.9,4.1,2,Netherlands,,,,,,
9,0,1.2,85.8,0.1,0,3,Norway,,,,,,
9,0.5,28.3,9.7,1.9,0,9,Norway,,,,,,
9,0,0,0.2,0.1,0,4,Norway,,,,,,
9,0.2,0.9,18.2,11.6,0.1,1,Norway,,,,,,
9,0,7.6,13.3,0,0,6,Norway,,,,,,
9,0,0,0,0,0,10,Norway,,,,,,
9,0.4,5.8,3.4,4.1,0,7,Norway,,,,,,
9,0.5,6.3,4.7,11,0,2,Norway,,,,,,
16,0,100,0,0,0,3,Saudi Arabia,,,,,,
16,20,75.2,0,0,0,1,Saudi Arabia,,,,,,
16,100,0,0,0,0,5,Saudi Arabia,,,,,,
16,0,100,0,0,0,2,Saudi Arabia,,,,,,
15,0.3,0.3,5,2.7,0,3,Spain,,,,,,
15,0,0.3,1.6,3.2,0,9,Spain,,,,,,
15,0.1,0.2,2.1,1.5,0,4,Spain,,,,,,
15,39.5,0,4.3,1.2,0,1,Spain,,,,,,
15,0,0,0,0,0,5,Spain,,,,,,
15,0,0,0,0,0,8,Spain,,,,,,
15,0,0,0,0,0,6,Spain,,,,,,
15,0,0,0,0,0,10,Spain,,,,,,
15,0,0,0.1,0.9,0,7,Spain,,,,,,
15,0,0.8,13.9,1,0,2,Spain,,,,,,
8,0,0.3,4.7,0,0,3,Sweden,,,,,,
8,1.3,0,0.4,11,0,9,Sweden,,,,,,
8,0,0,0.2,0.1,0,4,Sweden,,,,,,
8,0.1,18.7,9.8,0.6,8.9,1,Sweden,,,,,,
8,0,0,0,0,0,8,Sweden,,,,,,
8,0.7,6.1,1.7,1.6,0,6,Sweden,,,,,,
8,0,0,0.1,1.5,0,7,Sweden,,,,,,
8,1,0.5,0.7,9.5,0,2,Sweden,,,,,,
12,0,0,0.6,1.1,0,3,Switzerland,,,,,,
12,0,0,1.1,5.3,0,9,Switzerland,,,,,,
12,0,6.1,2.4,2.2,0,4,Switzerland,,,,,,
12,0,0.9,23.2,7.8,4.3,1,Switzerland,,,,,,
12,0,0,0,0,0,5,Switzerland,,,,,,
12,0,0,29.2,0,0,6,Switzerland,,,,,,
12,0,0.1,5.9,3.1,0.1,7,Switzerland,,,,,,
12,0,4.2,3.7,0,0,2,Switzerland,,,,,,
4,0,14.6,15.6,6.3,6.1,3,United Kingdom,,,,,,
4,7.1,0.7,2.8,4.5,15.1,9,United Kingdom,,,,,,
4,1,5,15,3.8,0,4,United Kingdom,,,,,,
4,3.7,16,2.7,4.8,1.7,1,United Kingdom,,,,,,
4,0,0,0,0,0,5,United Kingdom,,,,,,
4,1.7,5,8.5,24.9,0,6,United Kingdom,,,,,,
4,0,9.2,0,0,0,10,United Kingdom,,,,,,
4,10.4,3.9,2.2,8.3,0,7,United Kingdom,,,,,,
4,3.1,6.2,30.5,38,0,2,United Kingdom,,,,,,
1,28.9,10.4,0.2,19.7,0,3,United States,,,,,,
1,21.2,2.9,3.5,41,0.5,9,United States,,,,,,
1,2.2,11.5,4.7,15.2,0.1,4,United States,,,,,,
1,14,11.3,8.7,10.8,1.6,1,United States,,,,,,
1,48.1,12.5,1.3,7.8,2.6,5,United States,,,,,,
1,0,0.3,0,3.8,0,8,United States,,,,,,
1,32.9,0.3,0.4,24.7,0,6,United States,,,,,,
1,78.8,3,0,7,0,10,United States,,,,,,
1,13,0.5,0.3,0.2,0,7,United States,,,,,,
1,21.4,10.5,3.5,27.7,0.1,2,United States,,,,,,
