Donor,Transport(%),Energy(%),Agriculture(%),Industry(%),Debt(%),Recipient,Country,RecCountry
11,0,1.8,0.2,6.2,0,7,Denmark,South Africa
20,0,0,7.9,1.1,0,7,Finland,South Africa
5,2,16,1.9,0.9,0,7,France,South Africa
3,0,19.7,1.8,0.4,0,7,Germany,South Africa
10,0,0.1,0.1,0,0,7,Italy,South Africa
2,33.2,14.8,0.2,12.2,0,7,Japan,South Africa
18,0,0.1,1,83.4,0,7,Korea,South Africa
6,0,0.2,2.2,1.2,0,7,Netherlands,South Africa
9,0.4,5.8,3.4,4.1,0,7,Norway,South Africa
15,0,0,0.1,0.9,0,7,Spain,South Africa
8,0,0,0.1,1.5,0,7,Sweden,South Africa
12,0,0.1,5.9,3.1,0.1,7,Switzerland,South Africa
4,10.4,3.9,2.2,8.3,0,7,United Kingdom,South Africa
1,13,0.5,0.3,0.2,0,7,United States,South Africa
19,0,0,0,0,0,8,Austria,Kuwait
7,0,0,0,0,0,8,Canada,Kuwait
5,0,0,0,0.1,0,8,France,Kuwait
3,0,0,0,0,1.3,8,Germany,Kuwait
10,0,0,0,0,0,8,Italy,Kuwait
2,11.9,0,0,0,0,8,Japan,Kuwait
6,0,0,0,0,0,8,Netherlands,Kuwait
15,0,0,0,0,0,8,Spain,Kuwait
8,0,0,0,0,0,8,Sweden,Kuwait
1,0,0.3,0,3.8,0,8,United States,Kuwait
13,0,0,0.8,0.3,0,9,Australia,Chile
19,0,0,14.4,0,0,9,Austria,Chile
14,1.2,0,9,6.8,0,9,Belgium,Chile
7,1.5,1.1,12.5,20.7,0,9,Canada,Chile
11,0,0,0.3,0,0,9,Denmark,Chile
20,0,0,11.2,2.3,0,9,Finland,Chile
5,32.9,0.1,1.4,0.5,3.8,9,France,Chile
3,0.1,14.2,1.9,1.1,14.9,9,Germany,Chile
10,0,0,4.7,1.3,0,9,Italy,Chile
2,11.7,0,49.3,1.5,0.5,9,Japan,Chile
18,0.1,0,0,90.2,0,9,Korea,Chile
6,0.1,0,1.5,0,2.4,9,Netherlands,Chile
9,0.5,28.3,9.7,1.9,0,9,Norway,Chile
15,0,0.3,1.6,3.2,0,9,Spain,Chile
8,1.3,0,0.4,11,0,9,Sweden,Chile
12,0,0,1.1,5.3,0,9,Switzerland,Chile
4,7.1,0.7,2.8,4.5,15.1,9,United Kingdom,Chile
1,21.2,2.9,3.5,41,0.5,9,United States,Chile
13,0,0,0,0,0,10,Australia,Saudi Arabia
19,29,0,0,9.5,0,10,Austria,Saudi Arabia
14,0,0,0,0,0,10,Belgium,Saudi Arabia
7,0,0,0,0,0,10,Canada,Saudi Arabia
20,0,0,0,0,0,10,Finland,Saudi Arabia
5,0,0,0.2,0.4,0,10,France,Saudi Arabia
3,0,0,0,0,11.3,10,Germany,Saudi Arabia
10,0,0,0,0,0,10,Italy,Saudi Arabia
2,1.8,0,0,91.1,0,10,Japan,Saudi Arabia
18,0,85.8,0,0,0,10,Korea,Saudi Arabia
6,0,0,0,0,0,10,Netherlands,Saudi Arabia
9,0,0,0,0,0,10,Norway,Saudi Arabia
15,0,0,0,0,0,10,Spain,Saudi Arabia
4,0,9.2,0,0,0,10,United Kingdom,Saudi Arabia
1,78.8,3,0,7,0,10,United States,Saudi Arabia
