donor,recipient,amount
Switzerland,Chile,904415
France,Colombia,904264
Spain,Chile,904150
France,South Africa,904147
Norway,Colombia,904147
Canada,India,904123
Germany,Brazil,904108
Norway,India,904079
United Kingdom,India,903956
Luxembourg,Colombia,903695
Sweden,South Africa,903528
Spain,Chile,903525
Spain,Colombia,903383
France,Colombia,903159
Australia,India,903109
Spain,Colombia,903044
United Kingdom,India,902993
Germany,Brazil,902991
Japan,Chile,902756
Switzerland,India,902744
Japan,Brazil,902659
Belgium,Brazil,902642
Germany,India,902625
Spain,Colombia,902623
Australia,South Africa,902532
Luxembourg,Chile,902532
Australia,Brazil,902496
Spain,Brazil,902429
Germany,Brazil,902429
Belgium,Chile,902367
Germany,Thailand,902340
Germany,Slovenia,901952
Spain,Chile,901810
Germany,Chile,901771
Belgium,India,901733
Sweden,Colombia,901733
Japan,Thailand,901704
Sweden,Colombia,901418
Finland,Brazil,901153
Norway,India,900854
France,Brazil,900639
Spain,Colombia,900514
Germany,Saudi Arabia,900441
United States,South Africa,900272
Austria,South Africa,900077
Canada,Chile,900016
Netherlands,Colombia,9.00E+05
Norway,Colombia,899883
Spain,Colombia,899765
Italy,India,899732
Canada,Thailand,899524
Spain,Colombia,899321
Japan,Colombia,899125
Germany,South Africa,899021
Belgium,Thailand,898919
Germany,Thailand,898676
Belgium,Thailand,898635
Sweden,Colombia,898471
Japan,South Africa,897597
Japan,India,897417
Germany,South Africa,897301
United States,Korea,897290
Spain,Brazil,897150
Greece,Brazil,897129
France,South Africa,896817
Norway,India,896648
Germany,India,896567
Germany,South Africa,896442
Spain,Thailand,895896
Netherlands,India,895823
Canada,Colombia,895818
United States,South Africa,895645
Austria,Brazil,895600
Italy,India,895445
France,Korea,895362
Canada,India,894852
Belgium,Thailand,894849
Finland,India,894488
Japan,India,894399
Canada,Thailand,894375
Canada,India,894370
Spain,Brazil,894280
Spain,Colombia,894201
United Kingdom,India,894182
Belgium,India,893999
Germany,Colombia,893924
Japan,Thailand,893856
France,Chile,893697
Germany,Chile,893638
Japan,India,893522
Belgium,South Africa,893386
Spain,Colombia,893380
Canada,India,893343
Japan,Saudi Arabia,893266
Spain,India,893239
Canada,Brazil,893197
United States,India,893193
Germany,Colombia,893138
Norway,South Africa,893110
Spain,Colombia,892928
Norway,Colombia,892768
Japan,Brazil,892695
Norway,India,892510
France,India,892408
United States,India,892230
Austria,South Africa,892068
Finland,South Africa,892003
Germany,Colombia,891864
Italy,Thailand,891840
Belgium,Brazil,891819
France,India,891819
United States,Colombia,891738
United Kingdom,India,891544
Australia,Thailand,891532
Netherlands,South Africa,891487
Norway,Brazil,891479
Spain,Brazil,891472
Germany,Brazil,891414
Germany,Colombia,891269
Italy,Brazil,891235
Canada,Colombia,891219
Belgium,Chile,891151
France,South Africa,890979
Denmark,South Africa,890789
Germany,Brazil,890663
Sweden,Chile,890630
France,India,890366
Canada,India,890282
Canada,Thailand,890151
France,Chile,889802
Spain,India,889690
Germany,Brazil,889690
Germany,India,889604
Australia,Thailand,889514
Japan,Colombia,889514
Belgium,Chile,889500
Germany,Brazil,889483
Spain,Colombia,889127
Sweden,India,888884
Japan,Thailand,888808
Sweden,India,888759
United States,India,888710
Australia,South Africa,888710
Germany,Thailand,888699
Spain,Colombia,888696
Netherlands,India,888617
Italy,Brazil,888366
Switzerland,India,888298
Germany,Thailand,888298
Japan,Thailand,888294
Netherlands,South Africa,888016
Spain,Brazil,887995
Australia,Thailand,887923
United States,Brazil,887784
United Kingdom,India,887472
Italy,Brazil,887379
Belgium,Colombia,887217
Ireland,Colombia,887171
Ireland,India,886500
Italy,Chile,886449
Belgium,Colombia,886449
Switzerland,South Africa,886382
Canada,Brazil,886321
Germany,Colombia,886192
Luxembourg,India,886177
Germany,India,885847
Germany,Brazil,885573
Finland,India,885377
Spain,Colombia,885369
United Kingdom,India,885325
Spain,India,885148
Germany,Colombia,885105
Belgium,South Africa,885085
France,South Africa,885071
Belgium,Colombia,884961
Denmark,South Africa,884599
Netherlands,India,884409
Italy,Brazil,884175
Spain,India,884141
France,Saudi Arabia,883666
Germany,Thailand,883659
United Kingdom,India,883573
Canada,South Africa,883529
Netherlands,Colombia,883410
United States,Thailand,883141
France,Chile,882719
Norway,India,882718
Australia,South Africa,882640
Australia,Thailand,882604
Belgium,South Africa,882260
Ireland,India,882244
United Kingdom,South Africa,882150
Japan,Brazil,882070
Japan,Brazil,881714
Italy,Brazil,881581
Germany,India,881557
Australia,South Africa,881464
Norway,Brazil,881299
Japan,India,881284
Spain,Colombia,881215
Japan,Brazil,881130
Belgium,South Africa,880953
France,India,880670
Belgium,Chile,880637
Japan,India,880537
Norway,Brazil,880469
United States,India,880391
Belgium,South Africa,880354
France,India,880300
France,Thailand,880279
United States,Colombia,880252
United Kingdom,India,880084
France,Colombia,880026
Switzerland,Thailand,880002
United States,South Africa,879964
Canada,South Africa,879964
Japan,South Africa,879899
Belgium,Chile,879831
Japan,India,879774
France,Taiwan,879720
Belgium,India,879581
France,Brazil,879544
France,India,879539
Japan,South Africa,879315
Belgium,Brazil,879298
Germany,India,879283
Netherlands,South Africa,879119
United States,Colombia,879109
Germany,Brazil,878880
United Kingdom,India,878576
Japan,Thailand,878373
Germany,South Africa,878168
Norway,South Africa,878060
Switzerland,Colombia,878038
Spain,India,877996
Netherlands,South Africa,877668
United States,South Africa,877532
Germany,Colombia,877471
Switzerland,Colombia,877287
Spain,Brazil,877227
Canada,Brazil,876886
Ireland,India,876874
Germany,Chile,876564
Belgium,South Africa,875999
United Kingdom,South Africa,875973
Austria,South Africa,875613
Portugal,India,875578
Belgium,Brazil,875350
Spain,Colombia,875319
Italy,South Africa,875313
Australia,Thailand,875170
Japan,India,875170
Spain,Chile,875160
United States,Brazil,875092
Belgium,India,874995
Netherlands,South Africa,874784
Netherlands,South Africa,874717
Italy,Brazil,874714
Japan,India,874714
Italy,Brazil,874611
United States,India,874611
Germany,Brazil,874611
Germany,Brazil,874126
Spain,India,873948
Norway,India,873899
Belgium,Colombia,873722
Sweden,Colombia,873722
Norway,South Africa,873589
Germany,South Africa,873241
Norway,Thailand,873149
United States,Brazil,872867
Australia,South Africa,872661
Norway,India,872406
France,Thailand,872329
Belgium,India,872215
Italy,Colombia,872063
Spain,Colombia,871890
United States,Thailand,871875
United States,Brazil,871871
Austria,Brazil,871860
Luxembourg,Colombia,871860
Netherlands,South Africa,871669
Austria,Thailand,871400
Germany,Brazil,871160
Japan,India,870991
Portugal,India,870846
Finland,India,870811
Canada,Brazil,870657
France,Brazil,870641
United States,India,870421
United States,Colombia,870222
Spain,Colombia,870197
Finland,India,870135
Japan,Saudi Arabia,869812
Netherlands,South Africa,869713
United States,South Africa,869627
Spain,Colombia,869383
Japan,India,869182
Belgium,Colombia,869178
United States,India,869089
Spain,Chile,868687
Belgium,Thailand,868548
Sweden,South Africa,868505
United States,India,868466
Switzerland,South Africa,868424
Netherlands,Colombia,868327
United Kingdom,South Africa,868315
Germany,Thailand,868265
Austria,Colombia,868124
Norway,Colombia,868120
Germany,Colombia,867748
Japan,India,867690
Germany,Colombia,867200
Germany,Brazil,867162
Finland,Brazil,867104
Belgium,Colombia,867033
France,Saudi Arabia,866936
United Kingdom,India,866918
Italy,India,866866
Belgium,South Africa,866863
Austria,South Africa,866708
Belgium,Colombia,866534
Switzerland,Colombia,865829
Luxembourg,India,865632
Spain,Colombia,865617
Belgium,Brazil,865517
Germany,India,865396
Norway,Brazil,865159
Greece,Brazil,865159
Spain,Colombia,865092
Germany,Thailand,865092
Japan,South Africa,864866
Spain,Brazil,864689
Norway,India,864600
United States,Colombia,864430
United States,India,864122
Japan,India,864061
France,Saudi Arabia,864009
Norway,South Africa,863694
Australia,India,863534
Italy,South Africa,863481
Norway,Colombia,863416
Japan,Thailand,863376
Spain,Brazil,863287
Switzerland,Chile,863284
Germany,Chile,862868
Finland,South Africa,862862
Japan,Thailand,862862
Norway,Brazil,862777
Japan,Brazil,862648
Japan,Thailand,862537
Spain,Colombia,862483
Germany,India,862433
Spain,India,862422
Spain,Colombia,862349
Netherlands,India,862303
Ireland,India,862243
Japan,Thailand,862213
Japan,India,862048
Germany,Colombia,862011
Italy,Brazil,861986
Canada,Colombia,861657
Germany,India,861201
Germany,Brazil,861201
Italy,Colombia,861165
Austria,India,860910
France,Thailand,860676
Austria,Slovenia,860676
Italy,Brazil,860676
Denmark,India,860676
France,South Africa,860421
Belgium,Colombia,860262
Germany,South Africa,860068
Finland,Brazil,860021
Canada,India,859911
Switzerland,India,859840
France,Colombia,859822
United Kingdom,Slovenia,859712
Greece,Brazil,859652
Ireland,South Africa,859622
Australia,India,859526
Luxembourg,Brazil,859475
Germany,India,859221
Italy,Brazil,859197
Spain,Brazil,859133
Spain,Colombia,859097
Norway,Chile,859092
Norway,India,859020
Italy,India,858801
Germany,India,858793
United States,South Africa,858793
Canada,South Africa,858564
France,India,858498
Netherlands,South Africa,858465
Norway,South Africa,858382
Japan,Thailand,858316
Canada,South Africa,858266
Switzerland,India,858110
Spain,Chile,858096
Spain,Brazil,857477
Sweden,South Africa,857240
Belgium,Colombia,856986
Netherlands,South Africa,856986
Belgium,Colombia,856986
France,India,856986
Portugal,South Africa,856584
United States,India,856561
Germany,South Africa,856537
Spain,Colombia,856507
Japan,India,856439
Norway,India,856433
Germany,Colombia,856361
Italy,Slovenia,856361
Germany,Thailand,856356
Spain,Brazil,856318
Spain,Colombia,855832
Netherlands,Colombia,855699
United States,Brazil,855657
Portugal,South Africa,855657
Austria,Brazil,855509
Ireland,South Africa,855358
Luxembourg,Brazil,855111
United Kingdom,India,854871
Italy,Brazil,854757
Italy,Brazil,854616
United States,Brazil,854433
Spain,Colombia,854424
Sweden,India,854380
Netherlands,Thailand,854372
Japan,Chile,854355
Germany,India,854186
Norway,Brazil,854158
Finland,South Africa,854124
Italy,Brazil,854124
United States,Thailand,853933
Netherlands,South Africa,853852
France,Thailand,853712
Luxembourg,India,853712
Norway,India,853712
Sweden,South Africa,853623
Australia,Brazil,853504
Germany,Colombia,853458
Sweden,Colombia,853280
Belgium,Colombia,853158
Ireland,Thailand,853073
United Kingdom,India,853032
Norway,Colombia,852793
United Kingdom,Brazil,852510
Spain,Colombia,852477
Spain,Chile,852477
Norway,Colombia,852383
United States,Brazil,852315
Japan,Brazil,852088
Norway,Brazil,852017
United States,India,851980
Spain,Colombia,851900
Ireland,India,851730
Spain,Chile,851640
Germany,India,851495
Norway,South Africa,851301
Norway,South Africa,851207
Japan,Brazil,851169
France,South Africa,851148
Belgium,Thailand,851052
Germany,South Africa,851030
Japan,Thailand,850991
Sweden,Colombia,850848
Ireland,South Africa,850834
Spain,South Africa,850834
United Kingdom,South Africa,850831
Belgium,Thailand,850831
Germany,Brazil,850761
Spain,Brazil,850761
Japan,India,850613
Germany,Brazil,850430
Luxembourg,India,850307
Canada,Colombia,850190
Spain,Colombia,850032
Italy,Thailand,850000
Sweden,South Africa,849895
Germany,Brazil,849813
Belgium,South Africa,849761
Italy,Brazil,849684
Japan,Saudi Arabia,849624
Belgium,Colombia,849602
Spain,Colombia,849584
Norway,India,849574
Norway,Brazil,849499
Norway,Colombia,849428
Portugal,Thailand,849355
United States,India,849088
Japan,Thailand,849037
France,Brazil,848858
Canada,India,848836
Netherlands,India,848378
France,India,848363
Germany,South Africa,848270
Italy,South Africa,848219
Austria,Brazil,848076
Japan,Colombia,848051
United Kingdom,India,847922
Norway,South Africa,847856
Belgium,South Africa,847843
France,India,847640
Italy,India,847616
Austria,Brazil,847369
Canada,India,847353
Spain,India,846972
Austria,India,846969
Ireland,Colombia,846934
Spain,Colombia,846787
Japan,Thailand,846431
Portugal,Brazil,846381
France,South Africa,846173
Sweden,India,846152
Denmark,South Africa,846107
Switzerland,Colombia,846107
Netherlands,Thailand,845917
Norway,Colombia,845866
United States,Brazil,845859
Ireland,South Africa,845638
Canada,Brazil,845619
Japan,South Africa,845619
Spain,India,845618
Norway,South Africa,845598
Portugal,Brazil,844987
Belgium,Brazil,844924
Australia,Thailand,844615
Switzerland,India,844507
Spain,Brazil,844466
Netherlands,Colombia,844436
Spain,India,844226
Japan,Colombia,844196
Spain,India,844087
Austria,Thailand,844037
Ireland,Chile,843992
Ireland,South Africa,843724
Germany,India,843569
France,Saudi Arabia,843461
Ireland,South Africa,843451
Belgium,South Africa,843450
Spain,Colombia,843261
Germany,Brazil,843191
Japan,India,843138
Germany,Brazil,843090
Belgium,South Africa,842949
Belgium,Brazil,842949
Netherlands,South Africa,842905
Japan,Chile,842711
Germany,Brazil,842372
Ireland,South Africa,842230
Germany,South Africa,842217
Norway,India,842204
Spain,Colombia,842089
New Zealand,India,842029
Italy,Brazil,841866
Netherlands,Brazil,841778
France,Brazil,841722
Sweden,South Africa,841685
Japan,Thailand,841651
Spain,India,841611
Japan,India,841611
United States,India,841569
Austria,Brazil,841446
United States,South Africa,841410
Australia,India,841297
Austria,Brazil,841140
Spain,Brazil,841045
United States,Thailand,841045
Norway,India,840950
Norway,India,840824
United Kingdom,India,840636
Ireland,Colombia,840556
France,Korea,840427
United Kingdom,Brazil,840323
Germany,South Africa,840279
Norway,India,840116
Spain,Chile,839904
France,South Africa,839839
United States,South Africa,839739
Germany,South Africa,839731
United States,Brazil,839721
Germany,Colombia,839721
Norway,India,839592
Belgium,Brazil,839571
Spain,Colombia,839414
Japan,Thailand,839394
Canada,India,839043
Japan,India,839013
Spain,Colombia,838993
Australia,Thailand,838957
Denmark,India,838400
Netherlands,India,838242
Netherlands,India,838130
Spain,Brazil,838025
United States,Thailand,837963
United States,South Africa,837952
Belgium,Colombia,837835
Austria,Chile,837825
Spain,Colombia,837733
Canada,Chile,837624
Spain,Chile,837456
United States,South Africa,837433
France,South Africa,837161
Australia,South Africa,837157
Canada,South Africa,837150
Italy,Brazil,836993
Japan,Colombia,836857
United States,Thailand,836623
Ireland,Brazil,836556
Australia,South Africa,836531
Portugal,Brazil,836509
Netherlands,India,836445
Japan,Colombia,836445
Belgium,Chile,836223
Italy,South Africa,836200
Austria,South Africa,835909
Spain,Brazil,835859
Ireland,Brazil,835723
United Kingdom,India,835557
Germany,Thailand,835531
Spain,Brazil,835373
Netherlands,Brazil,835248
Norway,Colombia,835189
Sweden,India,835189
Germany,Brazil,835118
Norway,South Africa,835118
United Kingdom,India,835061
Japan,Thailand,834983
Belgium,India,834845
United States,Thailand,834802
Norway,India,834778
Denmark,India,834694
France,Chile,834611
Australia,South Africa,834597
Ireland,South Africa,834569
Netherlands,South Africa,834517
Italy,Colombia,834517
Norway,India,834517
Netherlands,South Africa,834517
Portugal,Brazil,834517
Canada,India,834517
Spain,Colombia,834421
Spain,Colombia,834308
France,India,834260
Italy,South Africa,834260
Spain,Thailand,834111
Spain,Colombia,833992
Austria,South Africa,833948
Finland,India,833883
Belgium,India,833867
Spain,India,833831
Japan,Chile,833449
Germany,Colombia,833449
Ireland,Colombia,833449
Norway,Brazil,833273
Spain,Colombia,833206
Italy,Brazil,833178
Italy,Brazil,833162
Switzerland,India,833033
Spain,Colombia,833030
Japan,India,832943
Germany,Chile,832789
Austria,South Africa,832685
Norway,Brazil,832530
United States,Brazil,832384
Spain,Colombia,832321
Belgium,Brazil,832321
Spain,South Africa,832254
Belgium,India,832079
Luxembourg,India,832052
Spain,Chile,831908
Germany,South Africa,831858
Japan,Brazil,831820
France,Brazil,831694
France,South Africa,831694
United Kingdom,India,831694
Portugal,South Africa,831694
Switzerland,Colombia,831680
Norway,South Africa,831577
Greece,India,831489
Germany,Chile,831489
Belgium,Brazil,831489
Luxembourg,Chile,831479
Spain,South Africa,831346
Germany,India,831346
France,India,831346
Germany,Brazil,831332
Germany,Brazil,831264
Austria,South Africa,831224
France,Brazil,831072
Japan,Chile,830719
Japan,India,830491
Netherlands,South Africa,830406
Belgium,Colombia,830282
Spain,Brazil,830038
Spain,Colombia,830017
Netherlands,South Africa,829952
Germany,Brazil,829254
Japan,India,829254
Netherlands,South Africa,829104
Spain,Brazil,828536
Japan,Thailand,828342
Finland,India,828112
United States,Thailand,827918
Germany,Chile,827892
Norway,South Africa,827845
Luxembourg,Brazil,827789
Denmark,India,827561
Japan,Colombia,827354
United States,Thailand,827187
Sweden,South Africa,826981
Australia,South Africa,826848
Spain,Colombia,826634
United States,Colombia,826480
Netherlands,South Africa,826452
Canada,South Africa,826393
Norway,Thailand,826384
United States,South Africa,826344
Austria,Brazil,826343
Italy,Chile,826322
France,Chile,826240
Germany,Chile,826171
Germany,India,825989
Sweden,South Africa,825948
United Kingdom,South Africa,825817
Germany,India,825811
Japan,Chile,825498
Australia,Thailand,825498
Ireland,India,825252
Germany,South Africa,825096
Canada,India,825066
Japan,Thailand,824960
Ireland,Brazil,824881
Germany,Brazil,824858
United States,India,824739
Spain,India,824642
Spain,Colombia,824633
United Kingdom,India,824475
Norway,Brazil,824435
United States,Brazil,823978
Italy,Chile,823832
Ireland,South Africa,823790
Italy,Chile,823677
Ireland,India,823266
Australia,South Africa,823170
Japan,Thailand,823168
Australia,Chile,823143
Sweden,Thailand,823143
Spain,Brazil,822786
Belgium,South Africa,822765
Germany,Slovenia,822732
Netherlands,South Africa,822700
Germany,Brazil,822509
Spain,Chile,822498
Spain,Colombia,822307
Sweden,South Africa,822095
Canada,South Africa,822094
Spain,India,822094
France,Brazil,822082
Netherlands,South Africa,821649
Australia,Thailand,821307
Canada,Brazil,821232
Belgium,India,821029
France,Korea,820900
Germany,India,820820
Norway,Colombia,820820
Belgium,South Africa,820820
United Kingdom,India,820676
Ireland,South Africa,820663
United Kingdom,South Africa,820591
United Kingdom,Chile,820572
Belgium,Brazil,820544
France,Chile,820470
Netherlands,Colombia,820356
Spain,Colombia,820354
Spain,Brazil,820307
Switzerland,Colombia,820307
Norway,Colombia,820277
Belgium,India,820271
Luxembourg,Thailand,820198
France,Thailand,820182
Spain,Brazil,820006
Germany,South Africa,819865
Germany,Chile,819865
United States,India,819794
France,South Africa,819653
Netherlands,Thailand,819546
Germany,India,819255
Japan,Thailand,819194
Italy,Brazil,819168
Japan,India,819089
United States,South Africa,818995
Finland,Thailand,818962
United States,Colombia,818884
Ireland,South Africa,818884
Italy,Colombia,818813
United States,India,818804
Spain,South Africa,818616
Netherlands,South Africa,818590
Luxembourg,India,818547
Canada,Colombia,818328
Belgium,South Africa,818259
Spain,Chile,818210
Germany,Colombia,818093
United States,India,818065
Germany,Chile,817983
Norway,Thailand,817969
Norway,India,817969
Germany,India,817938
Germany,Chile,817938
Norway,India,817842
Belgium,India,817680
Germany,India,817626
United States,South Africa,817522
France,Colombia,817516
Norway,India,817365
Germany,Brazil,817237
United States,India,817138
Japan,Brazil,817062
France,Thailand,817054
Belgium,South Africa,817054
France,Brazil,816756
United States,India,816641
Netherlands,India,816412
Denmark,South Africa,816410
France,South Africa,816129
United Kingdom,Thailand,816117
Ireland,South Africa,816079
Japan,South Africa,815835
Japan,Thailand,815502
Spain,Brazil,815400
France,Korea,815253
Ireland,South Africa,815201
Japan,Saudi Arabia,815167
Australia,India,814925
United States,Colombia,814417
Germany,India,814404
Netherlands,Colombia,814309
Spain,Colombia,814290
Denmark,South Africa,814254
United Kingdom,Colombia,814238
Germany,India,814180
United Kingdom,Brazil,814136
Germany,South Africa,814136
France,South Africa,813905
United States,India,813832
Switzerland,Colombia,813802
United Kingdom,India,813760
Spain,India,813553
Canada,Brazil,813182
Japan,Colombia,813140
Sweden,Thailand,813076
United States,South Africa,813022
Germany,Chile,812841
United States,Colombia,812785
United States,India,812696
United Kingdom,Brazil,812414
Germany,Brazil,812406
United States,India,812255
Belgium,Chile,812073
Canada,Colombia,812061
Ireland,South Africa,812005
Japan,Colombia,811851
France,Brazil,811641
France,India,811607
Ireland,South Africa,811603
France,Chile,811600
Italy,Brazil,811534
France,South Africa,811426
Canada,Brazil,811423
United States,India,811419
Italy,Brazil,811308
Netherlands,India,811277
Australia,India,811194
Netherlands,Colombia,811161
Norway,Brazil,811047
Ireland,South Africa,810526
Germany,India,810526
Switzerland,Colombia,810470
Sweden,India,810428
Netherlands,Slovenia,810399
Spain,Colombia,810397
Japan,Saudi Arabia,810258
Spain,India,810019
Ireland,South Africa,809725
Netherlands,India,809548
Canada,India,809522
Japan,Brazil,809424
Japan,Colombia,809323
Belgium,South Africa,809259
Spain,India,809053
Netherlands,Colombia,808724
Italy,Brazil,808569
Netherlands,India,808544
France,South Africa,808535
Germany,Colombia,808468
Germany,India,808348
Netherlands,Colombia,808265
Spain,India,808232
United States,South Africa,808199
Switzerland,Chile,808152
Belgium,Brazil,808138
Sweden,South Africa,808092
Germany,India,808078
France,Korea,808060
United Kingdom,India,807989
Germany,India,807886
United Kingdom,South Africa,807600
Canada,South Africa,807412
Finland,India,807272
Belgium,Colombia,807180
France,Taiwan,807087
United States,Brazil,807054
Spain,Colombia,806833
Austria,Brazil,806698
Canada,South Africa,806452
Germany,South Africa,806410
Spain,Brazil,806003
France,Thailand,805934
Spain,Colombia,805892
Germany,India,805827
Belgium,South Africa,805810
France,Brazil,805720
France,Chile,805656
Switzerland,Thailand,805468
Italy,South Africa,805297
Germany,India,805099
United States,Brazil,804855
Spain,Brazil,804852
United States,Colombia,804846
United States,Colombia,804787
United Kingdom,India,804764
Ireland,Thailand,804389
Belgium,South Africa,804346
Netherlands,Thailand,804274
Spain,Colombia,804274
Finland,India,804190
United States,India,804169
Switzerland,India,804145
United Kingdom,South Africa,803841
Belgium,South Africa,803458
Japan,India,803442
France,Slovenia,803260
Italy,Brazil,803037
Germany,Slovenia,802993
Japan,South Africa,802912
Ireland,India,802912
United States,India,802876
Austria,Brazil,802802
Germany,Chile,802648
Japan,Thailand,802413
France,Chile,802296
United States,India,802213
France,Thailand,802210
Norway,India,802158
Ireland,South Africa,801883
United States,India,801781
Spain,India,801767
Norway,Slovenia,801767
Spain,Brazil,801767
Italy,Chile,801767
United States,Colombia,801767
Germany,Chile,801579
Germany,Colombia,801539
Australia,Thailand,801516
Italy,Brazil,801381
Spain,Colombia,801224
France,Chile,801194
Finland,India,801096
Ireland,South Africa,801026
Sweden,South Africa,800938
Spain,Chile,800890
Germany,Brazil,800828
Belgium,South Africa,800812
Japan,Brazil,800632
United States,India,800560
Netherlands,India,800497
Netherlands,South Africa,800355
Switzerland,Thailand,800355
Norway,Brazil,800354
Australia,South Africa,800222
Netherlands,South Africa,800222
Belgium,Chile,800159
Ireland,Brazil,800049
Switzerland,Colombia,800012
Ireland,India,8.00E+05
Norway,South Africa,8.00E+05
United States,South Africa,8.00E+05
Australia,Thailand,8.00E+05
Spain,Colombia,799607
Germany,South Africa,799607
Spain,India,799323
Australia,Thailand,799252
Denmark,India,799199
Spain,India,799199
Norway,South Africa,799005
Japan,South Africa,799005
Norway,India,798956
France,India,798800
Belgium,Chile,798705
Luxembourg,India,798705
Sweden,Colombia,798649
United States,India,798647
Norway,India,798643
Luxembourg,Brazil,798553
Canada,South Africa,798540
Australia,India,798303
Spain,Brazil,797976
United States,Brazil,797856
Austria,India,797628
Norway,Brazil,797562
Italy,Chile,797391
Germany,Brazil,797200
France,India,797134
United Kingdom,South Africa,797030
Germany,Brazil,796599
France,India,796588
Belgium,Chile,796489
France,South Africa,796450
Sweden,South Africa,796179
United Kingdom,India,796115
Belgium,Brazil,796014
France,Thailand,795913
Denmark,South Africa,795777
Australia,Thailand,795718
Germany,India,795709
United States,Brazil,795649
Norway,India,795640
Japan,Thailand,795554
Japan,Thailand,795479
Germany,Brazil,795403
Switzerland,India,795403
Switzerland,Thailand,795253
Japan,Chile,795069
Germany,India,795024
Austria,Brazil,795007
Belgium,Colombia,794978
Japan,India,794770
Norway,South Africa,794726
New Zealand,South Africa,794716
Netherlands,South Africa,794682
Switzerland,Brazil,794566
Germany,Brazil,794537
Canada,India,794524
Canada,Colombia,794139
Japan,Brazil,793789
France,South Africa,793688
Sweden,South Africa,793615
Ireland,South Africa,793598
Canada,South Africa,793598
Sweden,India,793510
Norway,Chile,793510
Finland,South Africa,793397
Canada,South Africa,793337
Netherlands,Thailand,793337
Spain,Brazil,793080
Norway,South Africa,792979
United States,Colombia,792979
Germany,India,792926
Belgium,Brazil,792924
Austria,Brazil,792922
United Kingdom,Brazil,792922
France,Brazil,792922
Germany,Colombia,792922
Netherlands,South Africa,792922
Belgium,India,792876
France,India,792846
Japan,India,792639
Sweden,Thailand,792373
Switzerland,Thailand,792179
Belgium,South Africa,792120
Ireland,Brazil,792119
Portugal,Brazil,791967
United States,South Africa,791776
Austria,Colombia,791754
Belgium,India,791587
Germany,India,791520
Germany,Colombia,791520
Spain,Colombia,791493
United States,Brazil,791267
Sweden,Brazil,791243
Germany,Brazil,791211
France,Saudi Arabia,791209
Germany,South Africa,791110
Canada,Colombia,791055
Germany,Brazil,790891
Canada,India,790771
Germany,South Africa,790761
Switzerland,India,790737
Spain,Brazil,790728
United States,India,790717
France,India,790615
Spain,Colombia,790615
Spain,India,790584
Spain,Colombia,790522
Netherlands,India,790500
Spain,Brazil,790389
Australia,India,790297
Switzerland,Colombia,790254
Norway,Brazil,790203
Japan,Colombia,790108
United States,Thailand,789915
Germany,South Africa,789892
United States,Colombia,789752
Norway,Brazil,789717
United States,India,789488
Japan,Colombia,789113
Canada,India,788888
Spain,Brazil,788888
Spain,Brazil,788505
Ireland,India,788480
Belgium,Chile,788480
Japan,South Africa,788480
Netherlands,India,788468
Norway,India,788409
Germany,Colombia,788002
Norway,Brazil,787950
United Kingdom,South Africa,787662
Italy,India,787582
Sweden,South Africa,787582
Germany,South Africa,787582
United Kingdom,India,787582
Spain,Colombia,787582
Spain,India,787582
Sweden,India,787582
Germany,Brazil,787582
Germany,Brazil,787555
Spain,Colombia,787548
Australia,India,787468
Germany,South Africa,787360
Netherlands,Thailand,787289
Canada,Thailand,787267
Japan,Thailand,787228
France,Chile,787121
Belgium,Chile,787060
Austria,India,786955
Finland,Colombia,786945
Netherlands,South Africa,786903
Spain,India,786866
Germany,India,786857
Japan,Brazil,786824
Belgium,Chile,786729
Belgium,India,786690
Sweden,South Africa,786593
Sweden,South Africa,786414
Austria,India,786397
Austria,South Africa,786172
Australia,India,786170
Luxembourg,India,785944
Spain,Colombia,785780
United States,Thailand,785618
United Kingdom,India,785482
Netherlands,South Africa,785475
United States,Colombia,785406
Switzerland,Colombia,785379
Sweden,Colombia,785348
Denmark,Thailand,785028
Ireland,Brazil,784990
Netherlands,South Africa,784863
Norway,India,784850
Denmark,South Africa,784788
Canada,India,784728
United States,India,784657
Norway,India,784648
Germany,Chile,784645
Portugal,Brazil,784565
Belgium,Chile,784490
Belgium,India,784348
Spain,Colombia,784333
Austria,Brazil,784313
United States,India,784225
Switzerland,South Africa,784225
Australia,South Africa,784190
Switzerland,India,784140
Germany,South Africa,784130
Spain,Brazil,784093
Switzerland,South Africa,784093
Sweden,South Africa,784093
Australia,India,784093
Australia,Thailand,784005
Spain,Brazil,783821
United States,South Africa,783740
Switzerland,India,783720
United States,Brazil,783606
Switzerland,India,783556
Norway,India,783512
Germany,Colombia,783486
United States,Brazil,783483
Australia,South Africa,783281
United States,India,783241
Ireland,Brazil,783127
United Kingdom,South Africa,782989
Spain,Colombia,782989
Ireland,South Africa,782989
Switzerland,Brazil,782989
Belgium,Chile,782989
Sweden,South Africa,782738
United States,Colombia,782738
Canada,Colombia,782702
United States,South Africa,782668
Netherlands,South Africa,782668
Ireland,Chile,782628
Germany,India,782471
Netherlands,South Africa,782466
Japan,South Africa,782256
Japan,Thailand,782229
Canada,Chile,782152
Sweden,India,782119
France,South Africa,782004
New Zealand,Brazil,781986
Japan,Thailand,781859
United States,Colombia,781850
Italy,Brazil,781663
Ireland,India,781654
Japan,Chile,781654
Switzerland,Thailand,781647
Norway,India,781610
Italy,South Africa,781569
