donor,recipient,amount
United States,Brazil,227982411
United States,Brazil,227658037
United States,Brazil,227450389
United States,Brazil,226863034
United States,Brazil,226733226
United States,Brazil,226373056
United States,Brazil,225655634
United States,Brazil,225415063
United States,Brazil,225026766
United States,Brazil,223567065
United States,Brazil,223103732
United States,Brazil,222920705
United States,Brazil,222681507
United States,Brazil,222680188
United States,Brazil,222587277
United States,Brazil,221185902
United States,Brazil,220469468
United States,Brazil,218735832
United States,Brazil,218365666
United States,Brazil,218290754
United States,Brazil,217992915
United States,Brazil,217344389
United States,Brazil,217258191
United States,Brazil,217055717
United States,Brazil,216362238
United States,Brazil,216247007
United States,Brazil,216070173
United States,Brazil,215833085
United States,Brazil,215646405
United States,Brazil,215646405
United States,Brazil,215421770
United States,India,215374411
United States,India,213423656
United States,India,213053772
United States,India,212889083
United States,India,212501012
United States,India,212202942
United States,India,211719930
United States,India,211059125
United States,India,210634245
United States,India,210361887
United States,India,210090479
United States,Brazil,209892739
United States,Brazil,209889592
United States,Brazil,209873179
United States,Brazil,209277588
United States,Brazil,209133272
United States,Brazil,208910146
United States,Brazil,208615539
United States,Brazil,208544911
United States,Brazil,207969110
United States,Brazil,207656995
United States,Brazil,206846124
United States,Brazil,206696435
United States,Brazil,206129411
United States,Brazil,206061371
United States,Brazil,205660409
United States,Brazil,204750743
United States,Brazil,204552639
United States,Brazil,204395789
United States,Brazil,203451199
United States,Brazil,203424636
United States,Norway,203261826
United States,Norway,202748447
United States,Norway,202498672
United States,Norway,201819292
United States,Norway,201435843
United States,Norway,200879112
United States,Brazil,200543180
United States,Brazil,200481471
United States,Ireland,200471094
United States,Canada,200414062
United States,Canada,199916893
United States,Canada,199691260
United States,Canada,199690403
United States,Canada,199682388
United States,Canada,199053950
United States,Canada,198604561
United States,Canada,196488289
United States,Canada,196022172
United States,Canada,195796072
United States,Canada,195543493
United States,Canada,195064212
United States,Canada,195031708
United States,Canada,194801447
United States,Canada,194786508
United States,Italy,194553656
United States,Italy,194411153
United States,Italy,193588873
United States,Japan,193553716
United States,Japan,193399341
United States,Japan,193137099
United States,Japan,192698922
United States,Japan,192544600
United States,Italy,192030450
United States,Italy,192030450
United States,Poland,191647004
United States,Poland,191429881
United States,Poland,190228170
United States,Poland,190117949
United States,Poland,188029362
United States,Poland,187761153
United States,Poland,187471240
United States,Poland,187097740
United States,Poland,186902885
United States,Poland,186738309
United States,Poland,186254221
United States,Portugal,185630724
United States,Portugal,185536132
United States,Qatar,185285716
United States,Qatar,185163243
United States,Romania,184096283
United States,Romania,184096283
United States,Australia,184061735
United States,Australia,184048961
United States,Austria,183823067
United States,Austria,183271173
United States,Brazil,182986263
United States,Brazil,182668924
United States,Brazil,182321582
